rtt_ms,build_ms,prove_ms,open_ms,verify_ms,proof_core_ms,session_total_ms,p95_session_total_ms
0,93.8,1335.6,4929.5,7.7,6360.2,6659.6,6756.2
10,1201.5,1297.9,13486.9,7.0,15850.2,17734.0,18290.2
30,3307.1,1248.9,21026.7,6.8,25556.6,30234.3,31214.1
60,6399.0,1267.9,18844.3,6.9,26606.3,35486.3,36531.5
100,10526.9,1182.9,26277.4,7.5,37967.1,52532.7,54948.7
